Province/State,Country/Region,Lat,Long,Date,Number of confirmed cases
French Guiana,France,3.9339,-53.1258,4/2/20,51
French Polynesia,France,-17.6797,149.4068,4/2/20,37
Guadeloupe,France,16.265,-61.551,4/2/20,128
Martinique,France,14.6415,-61.0242,4/2/20,138
Mayotte,France,-12.8275,45.166244,4/2/20,116
New Caledonia,France,-20.904305,165.618042,4/2/20,18
Reunion,France,-21.1151,55.5364,4/2/20,308
Saint Barthelemy,France,17.9,-62.8333,4/2/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/2/20,0
St Martin,France,18.0708,-63.0501,4/2/20,21
Wallis and Futuna,France,-14.2938,-178.1165,4/2/20,0
,France,46.2276,2.2137,4/2/20,58404
,Italy,41.87194,12.56738,4/2/20,115242
,US,40.0,-100.0,4/2/20,260183
,Vietnam,14.058324,108.277199,4/2/20,233
French Guiana,France,3.9339,-53.1258,4/3/20,57
French Polynesia,France,-17.6797,149.4068,4/3/20,39
Guadeloupe,France,16.265,-61.551,4/3/20,130
Martinique,France,14.6415,-61.0242,4/3/20,143
Mayotte,France,-12.8275,45.166244,4/3/20,128
New Caledonia,France,-20.904305,165.618042,4/3/20,18
Reunion,France,-21.1151,55.5364,4/3/20,321
Saint Barthelemy,France,17.9,-62.8333,4/3/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/3/20,0
St Martin,France,18.0708,-63.0501,4/3/20,22
Wallis and Futuna,France,-14.2938,-178.1165,4/3/20,0
,France,46.2276,2.2137,4/3/20,63588
,Italy,41.87194,12.56738,4/3/20,119827
,US,40.0,-100.0,4/3/20,292630
,Vietnam,14.058324,108.277199,4/3/20,237
French Guiana,France,3.9339,-53.1258,4/4/20,61
French Polynesia,France,-17.6797,149.4068,4/4/20,40
Guadeloupe,France,16.265,-61.551,4/4/20,134
Martinique,France,14.6415,-61.0242,4/4/20,145
Mayotte,France,-12.8275,45.166244,4/4/20,134
New Caledonia,France,-20.904305,165.618042,4/4/20,17
Reunion,France,-21.1151,55.5364,4/4/20,334
Saint Barthelemy,France,17.9,-62.8333,4/4/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/4/20,0
St Martin,France,18.0708,-63.0501,4/4/20,22
Wallis and Futuna,France,-14.2938,-178.1165,4/4/20,0
,France,46.2276,2.2137,4/4/20,46483
,Italy,41.87194,12.56738,4/4/20,124632
,US,40.0,-100.0,4/4/20,324340
,Vietnam,14.058324,108.277199,4/4/20,240
French Guiana,France,3.9339,-53.1258,4/5/20,61
French Polynesia,France,-17.6797,149.4068,4/5/20,41
Guadeloupe,France,16.265,-61.551,4/5/20,135
Martinique,France,14.6415,-61.0242,4/5/20,149
Mayotte,France,-12.8275,45.166244,4/5/20,147
New Caledonia,France,-20.904305,165.618042,4/5/20,18
Reunion,France,-21.1151,55.5364,4/5/20,344
Saint Barthelemy,France,17.9,-62.8333,4/5/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/5/20,1
St Martin,France,18.0708,-63.0501,4/5/20,24
Wallis and Futuna,France,-14.2938,-178.1165,4/5/20,0
,France,46.2276,2.2137,4/5/20,47299
,Italy,41.87194,12.56738,4/5/20,128948
,US,40.0,-100.0,4/5/20,353117
,Vietnam,14.058324,108.277199,4/5/20,241
French Guiana,France,3.9339,-53.1258,4/6/20,72
French Polynesia,France,-17.6797,149.4068,4/6/20,42
Guadeloupe,France,16.265,-61.551,4/6/20,135
Martinique,France,14.6415,-61.0242,4/6/20,151
Mayotte,France,-12.8275,45.166244,4/6/20,147
New Caledonia,France,-20.904305,165.618042,4/6/20,18
Reunion,France,-21.1151,55.5364,4/6/20,349
Saint Barthelemy,France,17.9,-62.8333,4/6/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/6/20,1
St Martin,France,18.0708,-63.0501,4/6/20,29
Wallis and Futuna,France,-14.2938,-178.1165,4/6/20,0
,France,46.2276,2.2137,4/6/20,49934
,Italy,41.87194,12.56738,4/6/20,132547
,US,40.0,-100.0,4/6/20,385110
,Vietnam,14.058324,108.277199,4/6/20,245
French Guiana,France,3.9339,-53.1258,4/7/20,72
French Polynesia,France,-17.6797,149.4068,4/7/20,47
Guadeloupe,France,16.265,-61.551,4/7/20,139
Martinique,France,14.6415,-61.0242,4/7/20,152
Mayotte,France,-12.8275,45.166244,4/7/20,171
New Caledonia,France,-20.904305,165.618042,4/7/20,18
Reunion,France,-21.1151,55.5364,4/7/20,358
Saint Barthelemy,France,17.9,-62.8333,4/7/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/7/20,1
St Martin,France,18.0708,-63.0501,4/7/20,31
Wallis and Futuna,France,-14.2938,-178.1165,4/7/20,0
,France,46.2276,2.2137,4/7/20,46400
,Italy,41.87194,12.56738,4/7/20,135586
,US,40.0,-100.0,4/7/20,415256
,Vietnam,14.058324,108.277199,4/7/20,249
French Guiana,France,3.9339,-53.1258,4/8/20,77
French Polynesia,France,-17.6797,149.4068,4/8/20,51
Guadeloupe,France,16.265,-61.551,4/8/20,141
Martinique,France,14.6415,-61.0242,4/8/20,154
Mayotte,France,-12.8275,45.166244,4/8/20,171
New Caledonia,France,-20.904305,165.618042,4/8/20,18
Reunion,France,-21.1151,55.5364,4/8/20,358
Saint Barthelemy,France,17.9,-62.8333,4/8/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/8/20,1
St Martin,France,18.0708,-63.0501,4/8/20,31
Wallis and Futuna,France,-14.2938,-178.1165,4/8/20,0
,France,46.2276,2.2137,4/8/20,50242
,Italy,41.87194,12.56738,4/8/20,139422
,US,40.0,-100.0,4/8/20,446500
,Vietnam,14.058324,108.277199,4/8/20,251
French Guiana,France,3.9339,-53.1258,4/9/20,83
French Polynesia,France,-17.6797,149.4068,4/9/20,51
Guadeloupe,France,16.265,-61.551,4/9/20,141
Martinique,France,14.6415,-61.0242,4/9/20,154
Mayotte,France,-12.8275,45.166244,4/9/20,184
New Caledonia,France,-20.904305,165.618042,4/9/20,18
Reunion,France,-21.1151,55.5364,4/9/20,362
Saint Barthelemy,France,17.9,-62.8333,4/9/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/9/20,1
St Martin,France,18.0708,-63.0501,4/9/20,31
Wallis and Futuna,France,-14.2938,-178.1165,4/9/20,0
,France,46.2276,2.2137,4/9/20,54003
,Italy,41.87194,12.56738,4/9/20,143626
,US,40.0,-100.0,4/9/20,482526
,Vietnam,14.058324,108.277199,4/9/20,255
French Guiana,France,3.9339,-53.1258,4/10/20,83
French Polynesia,France,-17.6797,149.4068,4/10/20,51
Guadeloupe,France,16.265,-61.551,4/10/20,143
Martinique,France,14.6415,-61.0242,4/10/20,155
Mayotte,France,-12.8275,45.166244,4/10/20,191
New Caledonia,France,-20.904305,165.618042,4/10/20,18
Reunion,France,-21.1151,55.5364,4/10/20,382
Saint Barthelemy,France,17.9,-62.8333,4/10/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/10/20,1
St Martin,France,18.0708,-63.0501,4/10/20,32
Wallis and Futuna,France,-14.2938,-178.1165,4/10/20,0
,France,46.2276,2.2137,4/10/20,55538
,Italy,41.87194,12.56738,4/10/20,147577
,US,40.0,-100.0,4/10/20,516707
,Vietnam,14.058324,108.277199,4/10/20,257
French Guiana,France,3.9339,-53.1258,4/11/20,83
French Polynesia,France,-17.6797,149.4068,4/11/20,51
Guadeloupe,France,16.265,-61.551,4/11/20,143
Martinique,France,14.6415,-61.0242,4/11/20,155
Mayotte,France,-12.8275,45.166244,4/11/20,196
New Caledonia,France,-20.904305,165.618042,4/11/20,18
Reunion,France,-21.1151,55.5364,4/11/20,388
Saint Barthelemy,France,17.9,-62.8333,4/11/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/11/20,1
St Martin,France,18.0708,-63.0501,4/11/20,32
Wallis and Futuna,France,-14.2938,-178.1165,4/11/20,0
,France,46.2276,2.2137,4/11/20,56972
,Italy,41.87194,12.56738,4/11/20,152271
,US,40.0,-100.0,4/11/20,545693
,Vietnam,14.058324,108.277199,4/11/20,258
French Guiana,France,3.9339,-53.1258,4/12/20,86
French Polynesia,France,-17.6797,149.4068,4/12/20,53
Guadeloupe,France,16.265,-61.551,4/12/20,143
Martinique,France,14.6415,-61.0242,4/12/20,155
Mayotte,France,-12.8275,45.166244,4/12/20,196
New Caledonia,France,-20.904305,165.618042,4/12/20,18
Reunion,France,-21.1151,55.5364,4/12/20,389
Saint Barthelemy,France,17.9,-62.8333,4/12/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/12/20,1
St Martin,France,18.0708,-63.0501,4/12/20,33
Wallis and Futuna,France,-14.2938,-178.1165,4/12/20,0
,France,46.2276,2.2137,4/12/20,107712
,Italy,41.87194,12.56738,4/12/20,156363
,US,40.0,-100.0,4/12/20,571551
,Vietnam,14.058324,108.277199,4/12/20,262
French Guiana,France,3.9339,-53.1258,4/13/20,86
French Polynesia,France,-17.6797,149.4068,4/13/20,55
Guadeloupe,France,16.265,-61.551,4/13/20,143
Martinique,France,14.6415,-61.0242,4/13/20,157
Mayotte,France,-12.8275,45.166244,4/13/20,207
New Caledonia,France,-20.904305,165.618042,4/13/20,18
Reunion,France,-21.1151,55.5364,4/13/20,391
Saint Barthelemy,France,17.9,-62.8333,4/13/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/13/20,1
St Martin,France,18.0708,-63.0501,4/13/20,33
Wallis and Futuna,France,-14.2938,-178.1165,4/13/20,0
,France,46.2276,2.2137,4/13/20,110836
,Italy,41.87194,12.56738,4/13/20,159516
,US,40.0,-100.0,4/13/20,598794
,Vietnam,14.058324,108.277199,4/13/20,265
French Guiana,France,3.9339,-53.1258,4/14/20,86
French Polynesia,France,-17.6797,149.4068,4/14/20,55
Guadeloupe,France,16.265,-61.551,4/14/20,145
Martinique,France,14.6415,-61.0242,4/14/20,157
Mayotte,France,-12.8275,45.166244,4/14/20,217
New Caledonia,France,-20.904305,165.618042,4/14/20,18
Reunion,France,-21.1151,55.5364,4/14/20,391
Saint Barthelemy,France,17.9,-62.8333,4/14/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/14/20,1
St Martin,France,18.0708,-63.0501,4/14/20,33
Wallis and Futuna,France,-14.2938,-178.1165,4/14/20,0
,France,46.2276,2.2137,4/14/20,128272
,Italy,41.87194,12.56738,4/14/20,162488
,US,40.0,-100.0,4/14/20,627306
,Vietnam,14.058324,108.277199,4/14/20,266
French Guiana,France,3.9339,-53.1258,4/15/20,86
French Polynesia,France,-17.6797,149.4068,4/15/20,55
Guadeloupe,France,16.265,-61.551,4/15/20,145
Martinique,France,14.6415,-61.0242,4/15/20,158
Mayotte,France,-12.8275,45.166244,4/15/20,217
New Caledonia,France,-20.904305,165.618042,4/15/20,18
Reunion,France,-21.1151,55.5364,4/15/20,391
Saint Barthelemy,France,17.9,-62.8333,4/15/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/15/20,1
St Martin,France,18.0708,-63.0501,4/15/20,35
Wallis and Futuna,France,-14.2938,-178.1165,4/15/20,0
,France,46.2276,2.2137,4/15/20,131476
,Italy,41.87194,12.56738,4/15/20,165155
,US,40.0,-100.0,4/15/20,653669
,Vietnam,14.058324,108.277199,4/15/20,267
French Guiana,France,3.9339,-53.1258,4/16/20,86
French Polynesia,France,-17.6797,149.4068,4/16/20,55
Guadeloupe,France,16.265,-61.551,4/16/20,145
Martinique,France,14.6415,-61.0242,4/16/20,158
Mayotte,France,-12.8275,45.166244,4/16/20,233
New Caledonia,France,-20.904305,165.618042,4/16/20,18
Reunion,France,-21.1151,55.5364,4/16/20,394
Saint Barthelemy,France,17.9,-62.8333,4/16/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/16/20,1
St Martin,France,18.0708,-63.0501,4/16/20,35
Wallis and Futuna,France,-14.2938,-178.1165,4/16/20,0
,France,46.2276,2.2137,4/16/20,144035
,Italy,41.87194,12.56738,4/16/20,168941
,US,40.0,-100.0,4/16/20,683351
,Vietnam,14.058324,108.277199,4/16/20,268
French Guiana,France,3.9339,-53.1258,4/17/20,96
French Polynesia,France,-17.6797,149.4068,4/17/20,55
Guadeloupe,France,16.265,-61.551,4/17/20,145
Martinique,France,14.6415,-61.0242,4/17/20,158
Mayotte,France,-12.8275,45.166244,4/17/20,245
New Caledonia,France,-20.904305,165.618042,4/17/20,18
Reunion,France,-21.1151,55.5364,4/17/20,402
Saint Barthelemy,France,17.9,-62.8333,4/17/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/17/20,1
St Martin,France,18.0708,-63.0501,4/17/20,35
Wallis and Futuna,France,-14.2938,-178.1165,4/17/20,0
,France,46.2276,2.2137,4/17/20,145896
,Italy,41.87194,12.56738,4/17/20,172434
,US,40.0,-100.0,4/17/20,716508
,Vietnam,14.058324,108.277199,4/17/20,268
French Guiana,France,3.9339,-53.1258,4/18/20,96
French Polynesia,France,-17.6797,149.4068,4/18/20,55
Guadeloupe,France,16.265,-61.551,4/18/20,148
Martinique,France,14.6415,-61.0242,4/18/20,158
Mayotte,France,-12.8275,45.166244,4/18/20,254
New Caledonia,France,-20.904305,165.618042,4/18/20,18
Reunion,France,-21.1151,55.5364,4/18/20,407
Saint Barthelemy,France,17.9,-62.8333,4/18/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/18/20,1
St Martin,France,18.0708,-63.0501,4/18/20,35
Wallis and Futuna,France,-14.2938,-178.1165,4/18/20,0
,France,46.2276,2.2137,4/18/20,149683
,Italy,41.87194,12.56738,4/18/20,175925
,US,40.0,-100.0,4/18/20,743857
,Vietnam,14.058324,108.277199,4/18/20,268
French Guiana,France,3.9339,-53.1258,4/19/20,96
French Polynesia,France,-17.6797,149.4068,4/19/20,55
Guadeloupe,France,16.265,-61.551,4/19/20,148
Martinique,France,14.6415,-61.0242,4/19/20,163
Mayotte,France,-12.8275,45.166244,4/19/20,271
New Caledonia,France,-20.904305,165.618042,4/19/20,18
Reunion,France,-21.1151,55.5364,4/19/20,408
Saint Barthelemy,France,17.9,-62.8333,4/19/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/19/20,1
St Martin,France,18.0708,-63.0501,4/19/20,37
Wallis and Futuna,France,-14.2938,-178.1165,4/19/20,0
,France,46.2276,2.2137,4/19/20,150752
,Italy,41.87194,12.56738,4/19/20,178972
